Chi_tieu,Gia_tri,Don_vi
New Asia Wave International (S) Pte Ltd,297889453143,VND
Tổng Công ty Xây dựng Công trình Hàng không ACC,162599124290,VND
Công ty CP phát triển Thương mại & Công nghệ Sản xuất mới,108129960600,VND
Công ty TNHH Thương mại Duy Anh,44037655212,VND
Công ty cổ phần Tập Đoàn CIENCO4,36143621584,VND
Công ty TNHH Xây dựng Lưu Nguyễn,31318873478,VND
Công ty cổ phần Dịch vụ và Kỹ thuật Cơ Điện Lạnh REE,29405483367,VND
Công ty TNHH Autogrill VFS F&B,26500945107,VND
Công ty cổ phần Đầu tư Xây lắp Dầu khí IMICO,22721629341,VND
Công ty cổ phần Xây dựng và Kinh doanh Địa Ốc Hòa Bình,22278384641,VND
Công ty TNHH Liên doanh Xây dựng VIC,21242748929,VND
Công ty cổ phần Xây dựng số 9,19363622329,VND
Công ty cổ phần Thiết bị và Công nghệ VTG,14963100432,VND
JRP International Pte Ltd,14434094515,VND
Công ty cổ phần HASKY,11973776279,VND
Công ty cổ phần Tập đoàn Quốc tế Đông Á,11803266646,VND
Công ty cổ phần Đầu tư Phát triển Công nghệ AT,11743507602,VND
Công ty cổ phần Kết cấu Thép ATAD,11720866649,VND
Công ty cổ phần Dịch vụ Nhiên liệu Hàng không Nội Bài,10854649597,VND
DFS Vietnam(s) Pte.Ltd,10850730845,VND
Phải trả các đối tượng khác,334137866863,VND
b. Phải trả các bên liên quan (Thuyết minh số 37),14606238678,VND
