Chi_tieu,Gia_tri,Don_vi
a) Ngắn hạn,749389739404,VND
+ Công ty Cổ phần Khai Anh Bình Thuận,88722041620,VND
+ Công ty TNHH Trường Thắng,1721504600,VND
+ Công ty Sterling And Wilson Private Limited,24876982503,VND
+ Công ty Cổ phần Nông Sản Tràng An,6335119350,VND
+ Công ty TNHH MTV Thái Thị Thu Hạnh,1432670715,VND
+ Công ty TNHH MTV Tiếp Vận và Thương Mại Ocean Ship,9096149958,VND
+ Công ty TNHH MTV KD&DT Toàn Cầu,90910342129,VND
+ Châu Vĩnh Viễn (Quyền sử dụng đất Cà Mau),50000200,VND
+ Nguyễn Tấn Đãm (Quyền sử dụng đất Cà Mau),75198170000,VND
+ Công ty Sinohydro,1515143508,VND
+ Đối tượng khác,449531614821,VND
