Chi_tieu,Gia_tri,Don_vi
Giá trị hàng mua và dịch vụ cung cấp,53046564710124,VND
Tổng Công ty Đầu Việt Nam - Công ty Cổ phần (*),47268273589266,VND
Công ty TNHH NN MTV - Tổng Công ty Thẩm dò Khai thác Dầu khí (Lô 01 & 02 - Điều hành Dầu khí),2102825226565,VND
Công ty TNHH NN MTV - Tổng Công ty Thẩm dò Khai thác Dầu khí,1299009748855,VND
Tổng Công ty Cổ phần Vận tải Dầu khí,1282983079618,VND
Công ty TNHH NN MTV - Tổng Công ty Thẩm dò Khai thác Dầu khí (Lô 01/97 & 02/97),624027081610,VND
Công ty Cổ phần Dịch vụ Dầu khí Quảng Ngãi PTSC,240444022955,VND
Công ty Cổ phần Bảo dưỡng và Sửa chữa Công trình Dầu khí,84893179436,VND
Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,37909959309,VND
Công ty Cổ phần Vận tải Sản phẩm khí Quốc tế,34302966076,VND
Tổng Công ty Dung dịch khoan và Hóa phẩm Dầu khí - CTCP,23652459215,VND
Công ty Cổ phần Vận tải Xăng dầu Phương Nam,14777377414,VND
Viên Dầu khí Việt Nam - Chỉ nhánh Hà Nội,8941483653,VND
Công ty Cổ phần Bảo dưỡng và Sửa chữa Công trình Dầu khí - Chỉ nhánh Giải pháp Công nghệ kiểm tra không phá hủy Dầu khí Việt Nam,7436037913,VND
Công ty Cổ phần Xăng dầu Dầu khí PVOil Miền Trung,5424226479,VND
Công ty Cổ phần Vận tải Dầu khí Đông Dương,4439572880,VND
Chì nhánh Tổng Công ty Cổ phần Dịch vụ kỹ thuật Dầu khí Việt Nam - Công ty Dịch vụ Dầu khí Đà Nẵng,2895489851,VND
Công ty Cổ phần Xăng dầu Dầu khí Hà Nội,1306368132,VND
Công ty Cổ phần Dầu nhôn PVOil,1174036600,VND
Ngân hàng TMCP Đại chúng Việt Nam - Chỉ nhánh Quảng Ngãi,699381420,VND
Công ty Cổ phần Hóa dầu và Xơ sợi Dầu khí,300000000,VND
Công ty Cổ phần Đào tạo Kỹ thuật,296000000,VND
Chì nhánh Tổng Công ty Dung dịch Khoan và Hóa phẩm Dầu khí tại Hồ Chí Minh,248784125,VND
Tập đoàn Dầu khí Việt Nam,154313752,VND
Công ty Cổ phần Chứng khoán Dầu khí,100000000,VND
Công ty Cổ phần Quản lý và Khai thác Tài sản Dầu khí,50325000,VND
