Chi_tieu,Gia_tri,Don_vi
"Doanh thu bán hàng, dịch vụ",35001163690,VND
- Công ty Cổ phần Dịch vụ Golf và Lữ hành Thế kỳ,1691230513,VND
- Công ty Cổ phần Thẩm định giá Thế kỳ,1890824490,VND
- Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,23976037993,VND
- Công ty Cổ phần Hồng Lam Xuân Thành,4563685745,VND
- Công ty Cổ phần CNV Sài Gòn,2879384949,VND
"Mua hàng hóa, dịch vụ",288725066988,VND
Chi phí giá vốn hàng bán,281525872451,VND
- Công ty Cổ phần Hồng Lam Xuân Thành,171341855325,VND
- Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,110184017126,VND
Chi phí bán hàng,1055636249,VND
- Công ty Cổ phần Dịch vụ Golf và lữ hành Thế Kỳ,1055636249,VND
Chi phí quản lý doanh nghiệp,6143558288,VND
- Công ty Cổ phần Dịch vụ Golf và lữ hành Thế Kỳ,204225000,VND
- Công ty Cổ phần Tập đoàn Thế Kỳ,5811720739,VND
- Công ty Cổ phần Hồng Lam Xuân Thành,127612549,VND
Doanh thu hoạt động tài chính - lãi cho vay,17880952060,VND
- Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,17880952060,VND
- Công ty Cổ phần Tập đoàn Thế kỳ,26506849,VND
Thu nhập của người quản lý chủ chốt,2759540087,VND
Ông Nguyễn Trung Vũ,215694445,VND
Ông Phạm Thanh Hưng,273000000,VND
Ông Vương Văn Tường,80000000,VND
Ông Phạm Đức Hùng,605610032,VND
Ông Chu Hữu Chiến,196140430,VND
Ông Nguyễn Anh Hương,138054125,VND
Bà Nguyễn Minh Hồi,1251041055,VND
