Chi_tieu,Gia_tri,Don_vi
Công ty Cổ phần Dược phẩm Cửu Long,9164919322,
Công ty Cổ phần Nước khoáng Khánh Hòa,5914325928,
Công ty Cổ phần FIT Cosmetics,360823000,
Công ty Cổ phần Chế biến Thực phẩm Xuất khẩu Miền Tây,79126698,
Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,562300788,
Công ty Cổ phần Thuốc ung thư Benovas,129322037,
Công ty Cổ phần Đầu tư Bất động sản F.I.T,562300788,
Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,322184929,
Công ty Cổ phần Dược phẩm Benovas,1878575564,
Công ty Cổ phần Đầu tư JJK Holdings,182987890,
Công ty Cổ phần FIT Cosmetics,13607971,
Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,18577138909,
Công ty Cổ phần Đầu tư Bất động sản F.I.T,11113931524,
Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,672922739,
Công ty Cổ phần Đầu tư Tây Đô Cửu Long,400000000000,
Phải thu khách hàng (Thuyết minh V.3),10689815776,
Công ty Cổ phần Dược phẩm Cửu Long,6641487402,
Công ty Cổ phần FIT Cosmetics,948256100,
Công ty Cổ phần Dược phẩm Benovas,1549824840,
Công ty Cổ phần Nước khoáng Khánh Hòa,1549824840,
Công ty Cổ phần Đầu tư JJK Holdings,422594,
Phải thu gốc hợp tác đầu tư\( ^{(i)} \) (Thuyết minh V.4),507400000000,
Công ty Cổ phần Đầu tư Bất động sản F.I.T,233000000000,
Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,121000000000,
Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,153400000000,
Phải thu lợi nhuận hợp tác đầu tư\( ^{(i)} \) (Thuyết minh V.4),16080399442,
Công ty Cổ phần Đầu tư Bất động sản F.I.T,15340660265,
Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,66816438,
Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,672922739,
Phải thu các khoản chi hộ (Thuyết minh V.4),253400844,
Công ty Cổ phần FIT Cosmetics,253400844,
