Chi_tieu,Gia_tri,Don_vi
Phải thu từ khách hàng,1904038395958,VND
- Công ty Cổ phần Tập đoàn Đức Tường,206778295075,VND
- Công ty Cổ phần Tư vấn Đầu tư và Xây lắp Điện số 5,131347390333,VND
- Công ty Cổ phần Điện máy Thành phố Hồ Chí Minh,122063764217,VND
- Các khoản phải thu khách hàng khác,1443848946333,VND
Phải thu từ các bên liên quan(Thuyết minh số 29),124845435214,VND
TỔNG CỘNG,2028883831172,VND
Dự phòng phải thu ngắn hạn khó đòi,-204113923665,VND
Phải thu từ khách hàng,6740871000,VND
- Công ty Điện lực Thái Bình,2134173000,VND
- Công ty Điện lực Sơn La,952952000,VND
- Công ty Điện lực Nam Định,1005884000,VND
- Công ty Điện lực Bắc Ninh,1005884000,VND
- Các khoản phải thu khách hàng khác,1641978000,VND
TỔNG CỘNG,6740871000,VND
