Chi_tieu,Gia_tri,Don_vi
Công ty TNHH MTVMáy Xây dựng Matec,56447875795,VND
Công ty Cổ phần Kỹthuật Jesco Hòa Bình,39616446595,VND
Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,22687570769,VND
Công ty TNHH Xây dựng Anh Huy,16909311719,VND
Công ty Cổ phần Xuấtnhập khấu Việt Ta,5907436840,VND
Công ty TNHH MTVXây dựng và Địa ốcHòa Bình Hà Nội,4999910548,VND
Công ty TNHH Tư vấnThiết kế Hòa Bình,4742242940,VND
Công ty TNHH SơnHòa Bình,3057933651,VND
Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,28782156978,VND
Công ty TNHH Xây dựng Anh Huy,4501575212,VND
Công ty TNHH Tư vấnThiết kế Hòa Bình,1023000000,VND
Công ty Cổ phần TiếnPhát Sanyo Homes,60300000,VND
