Chi_tieu,Gia_tri,Don_vi
Công ty Cổ phần Hoàng Anh Gia Lai,-108965038,Nghin VND
Ông Đoàn Nguyên Đức (*),-136000000,Nghin VND
Công ty Cổ phần Hoàng Anh Gia Lai,-39871191,Nghin VND
Công ty TNHH Phát triển Nông nghiệp Đại Thắng,-18475588,Nghin VND
Công ty TNHH Điện Năm Kông 3,-15974883,Nghin VND
Công ty Cổ phần Lê Me,-11685000,Nghin VND
Mượn tiền và các khoản phải trả khác,-1261001,Nghin VND
Công ty TNHH An Tiến,-550000000,Nghin VND
Công ty TNHH Điện Nậm Kông 3,-225217760,Nghin VND
Công ty Cổ phần Hoàng Anh Gia Lai,-983468000,Nghin VND
Công ty Cổ phần Hoàng Anh Gia Lai,-3679224833,Nghin VND
