Chi_tieu,Gia_tri,Don_vi
Chi phí lãi tiền gửi,-1244,Trieu dong
Thu nhập từ lãi tiền gửi,32372,Trieu dong
Thu nhập từ phí dịch vụ,68,Trieu dong
Nhận tiền gửi có kỳ hạn của MSB,7673700,Trieu dong
MSB rút tiền gửi có kỳ hạn,6599500,Trieu dong
Gửi tiền có kỳ hạn tại MSB,3380000,Trieu dong
Rút tiền gửi có kỳ hạn tại MSB,3580000,Trieu dong
Chi phí lãi tiền gửi,-73698,Trieu dong
Rút tiền gửi có kỳ hạn tại MSB,1555000,Trieu dong
Chi phí lãi tiền gửi,-14,Trieu dong
Thu nhập từ phí dịch vụ,8,Trieu dong
Thu nhập lãi tiền vay,20,Trieu dong
Gửi tiền có kỳ hạn tại MSB,760,Trieu dong
Chi phí trả lãi tiền gửi,-2,Trieu dong
Chi phí lãi tiền gửi,-36,Trieu dong
Thu nhập lãi tiền vay,2,Trieu dong
Thu nhập từ phí dịch vụ và thu nhập khác,54,Trieu dong
Rút tiền gửi có kỳ hạn tại MSB,203000,Trieu dong
Chi phí lãi tiền gửi,-1,Trieu dong
Chi phí lãi tiền gửi,-3,Trieu dong
Thu nhập từ phí dịch vụ,2,Trieu dong
Thù lao của Hội đồng quản trị,-11395,Trieu dong
- Ông Trần Xuân Quảng,-2838,Trieu dong
- Bà Nguyễn Thị Thiên Hương,-806,Trieu dong
- Ông Nguyễn Hoàng An,-2952,Trieu dong
- Bà Lê Thị Liên,-1879,Trieu dong
- Ông Võ Tấn Long,-1328,Trieu dong
- Ông Tạ Ngọc Đa,-1592,Trieu dong
Thù lao của Ban kiểm soát,-5496,Trieu dong
Lương của Tổng Giám đốc,-11532,Trieu dong
Thu nhập lãi tiền vay,4268,Trieu dong
Chi phí lãi tiền gửi và chứng chỉ tiền gửi,-19469,Trieu dong
Thu nhập từ phí dịch vụ,364,Trieu dong
