Chi_tieu,Gia_tri,Don_vi
Công ty Cổ phần Thiết bị Thương mại,98000000000,VND
Công ty Cổ phần Cơ khí Ô tô Hòa Bình,72850371918,VND
Công ty TNHH MTV Xây lắp Điện 1 - Hà Đông,5088844560,VND
Công ty Cổ phần Đầu tư Thương mại Tiến Bộ,120000000000,VND
Ngân hàng TMCP Công thương Việt Nam – Chi nhánh Thành An,386968395700,VND
Ngân hàng TMCP Ngoại thương Việt Nam – Sở giao dịch,310709898607,VND
Ngân hàng TMCP Công thương Việt Nam – Chi nhánh Thành An,305034568179,VND
Ngân hàng TMCP Công thương Việt Nam – Chi nhánh Thành An,152212523972,VND
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam – Chi nhánh Hà Nội,148000000000,VND
Ngân hàng TMCP Kỹ thương Việt Nam – Hội sở Cá nhân,364929000713,VND
Ngân hàng TMCP Kỹ thương Việt Nam – Hội sở Cá nhân,100000000000,VND
