Chi_tieu,Gia_tri,Don_vi
Công ty Cổ phần KCN Quốc tế Hải Phòng,20641051788,VND
Công ty Cổ phần Thủy điện Sông Gâm,7537837600,VND
Công ty Cổ phần PC1 Miền Nam,6763715807,VND
Công ty Cổ phần PC1 Ninh Bình,570541400,VND
Asia Dragon Trading Pte. Ltd.,521400000,VND
Công ty Cổ phần PC1 Hà Nội,432241755,VND
Công ty TNHH MTV Xây lắp Điện 1 – Miền Bắc,354027654,VND
Công ty Cổ phần Khoáng sản Tấn Phát,48960000,VND
Các công ty con cấp 1 khác,32416000,VND
Công ty Cổ phần Cột thép Mạ kẽm Thái Nguyên –công ty con của Công ty TNHH Chế tạo Cột thépĐông Anh,22514545634,VND
Công ty TNHH MTV Xây lắp Điện 1 – Từ Liêm –công ty con của Công ty Cổ phần PC1 Miền Nam,866995535,VND
Công ty Cổ phần Cơ điện Đại Dũng,28457138160,VND
Công ty Cổ phần Minh Hưng M&C (trước đây là “Côngty Cổ phần Đầu tư xây dựng Định Tân”),47680992,VND
Ban Quản lý Dự án Phát triển Điện lực Hà Nội –Tổng Công ty Điện lực Thành phố Hà Nội,203778019276,VND
Ban Quản lý Dự án lưới điện Tp. Hồ Chí Minh,118049317475,VND
Ban Quản lý Dự án các Công trình Điện Miền Nam,79023533034,VND
Ban Quản lý Dự án các Công trình Điện Miền Trung,75589377861,VND
Ban Quản lý Dự án các Công trình Điện Miền Bắc,61900913732,VND
Tổng Công ty Điện lực Miền Bắc,41930797451,VND
Ban Quản lý Dự án Điện 2 – Tập đoàn Điện lực Việt Nam,33480528945,VND
Công ty Cổ phần Năng lượng Điện gió Tiền Giang,20454366566,VND
Các khách hàng khác,523282533407,VND
