Chi_tieu,Gia_tri,Don_vi
- Phải thu về cổ phần hóa,200000000,VND
- Phải thu Bà Nguyễn Thị Minh Châu tiền chuyển nhượng khoản đầu tư vào Công ty CP BDS Dapark,6600000000,VND
- Phải thu Huỳnh Văn Nghi,1200000000,VND
- Lãi dự thu,5176542290,VND
- Phải thu Công ty CP Bệnh viện Phụ sản - Nhi Quốc tế Hạnh Phúc,408026584,VND
- Phải thu Công Ty CP May mặc Bình Dương,11260099684,VND
- Phải thu Công ty CP Đầu tư và Phát triển Tân Thành\( ^{(2)} \)+ Lãi vay,142800901417,VND
+ Phải thu tiền góp vốn,3591128617,VND
- Phải thu Công ty CP Hưng Vượng,139209772800,VND
- Phải thu về Tạm ứng\( ^{(1)} \),191192706918,VND
"- Các khoản thế chấp, ký quỹ",206729085,VND
- Phải thu quỹ khen thưởng phúc lợi,27137456710,VND
- Phải thu khác,1009217545,VND
- Phải thu Công ty Cổ phần Hưng Vượng\( ^{(3)} \),312198945948,VND
- Ông Trương Hồng Phong\( ^{(4)} \),793562000,VND
"- Các khoản ký quỹ, ký cược",945000000,VND
