Chi_tieu,Gia_tri,Don_vi
Công ty Cổ phầnThành Thành Nam,8239789206,VND
Công ty Cổ phầnThành Thành Nam,5343287230,VND
Công ty Cổ phầnThành Thành Nam,40587982000,VND
Công ty Cổ phầnThành Thành Nam,493946056,VND
Công ty Cổ phầnBao bì và Kho bãi Bình Tây,755243424,VND
Công ty Cổ phầnBao bì và Kho bãi Bình Tây,1112839479,VND
Công ty Cổ phầnĐầu tư Kiến trúcXây dựng Toàn Thịnh Phát,666702358,VND
Công ty Cổ phầnĐầu tư Thành Thành Công,104200000,VND
Công ty Cổ phầnĐầu tư Thành Thành Công,7604139777,VND
Ông Trần Lam Thông,3408382398,VND
