Chi_tieu,Gia_tri,Don_vi
Phải thu các bên liên quan,1029061089810,
Công ty Cổ phần Sông Đà 4,4043332337,
Công ty Cổ phần Thủy điện Cần Đơn,3533697997,
Công ty Cổ phần Cơ khí Lắp máy Sông Đà,2027453211,
Công ty Cổ phần Điện Việt Lào,1019456606265,
Phải thu các tổ chức và cá nhân khác,2059663674233,
Công ty Cổ phần Xi măng Hạ Long - vay vốn lưu động,971009156984,
Công ty Cổ phần Xi măng Hạ Long - cho vay lại,1045292478478,
Tổng công ty LICOGI – CTCP,28262038771,
Công ty Cổ phần Thủy Điện Sử Pán 2,15000000000,
Viện Kinh tế Xây dựng,100000000,
