Chi_tieu,Gia_tri,Don_vi
Công ty TNHH Trồng rừng Trường Thành OJI,324916773,VND
Chủ tịch Hội đồng quản trị,227380995,VND
Công ty Cổ phần Bao bì Trường Thành,65303700,VND
Ông Nguyễn Trọng Hiếu,1680000,VND
Công ty Cổ phần Bao bì Trường Thành,1730935076,VND
Công ty mẹ của cổ đông lớn,88000000,VND
Công ty TNHH Sản xuất Xây dựng Thương Mại Đồng Tâm,44000000,VND
Công ty TNHH MTV Sản xuất Vật liệu Xây dựng Đồng Tâm,4492840,VND
Công ty cùng liên doanh vào OJI,46380000000,VND
Ông Mai Hữu Tín,2000000000,VND
Phó Tổng Giám Đốc,17930000,VND
