Chi_tieu,Gia_tri,Don_vi
Phải thu ngắn hạn của khách hàng,6006512969,VND
Công ty Cổ phần Vinafacade,2826061071,VND
Công ty Cổ phần Gốm xây dựng Yên Hưng,1613021675,VND
Công ty Cổ phần Gạch chịu lửa Cầu Đường,1045739585,VND
Công ty Cổ phần Viglacera Đông Trièreu,293200000,VND
Công ty Cổ phần Viglacera Hạ Long II,161998135,VND
Công ty Cổ phần Gạch ngói Từ Sơn,66492503,VND
Phải thu dài hạn của khách hàng,2142749698,VND
Công ty Cổ phần Viglacera Đông Trièreu,2142749698,VND
Trả trước cho người bán ngắn hạn,744594036,VND
Công ty Cổ phần Viglacera Đông Trièreu,500000000,VND
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,244594036,VND
Phải thu ngắn hạn khác,4761959705,VND
Công ty Cổ phần Gạch chịu lửa Cầu Đường,2701986296,VND
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,2006710000,VND
Công ty TNHH MTV Năng lượng Gelex Ninh Thuận,53263409,VND
Phải trả người bán ngắn hạn,48054923465,VND
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,46892446530,VND
Công ty Cổ phần Vinafacade,1162476935,VND
