Chi_tieu,Gia_tri,Don_vi
- Hỗ trợ chính phù Cuba (*),594637125500,VND
- Công ty TNHH Xuất nhập khẩu Thương mại Võ Thị Thu Hà,58768539483,VND
- Shenzhen city flourishing Agriculture Science,23380160000,VND
- Công ty Cổ phần Lương thực Hậu Giang,54389922317,VND
- Công ty TNHH MTV Hòa Tân Lộc,2893900125,VND
- Crop Worthy Ventures Inc,22044495000,VND
"- Henan Huangguo Grain industry co, Ltd",109768672500,VND
"- Xiamen Biote Cerea oils and food Co., Ltd",51016877000,VND
"Xiamen Convergence and Harvest industry Co., Ltd",31642600000,VND
"Xiamen Youliang Comercial and Trade Co., Ltd",26229219000,VND
"Xiamen Lifanfa (Group) Forever co., Ltd",13222090000,VND
- Cty TNHH DTSX-TMDV Phan Minh,10129171106,VND
- Milmar riceland trading pte ltd,3060292811,VND
- Sima marketing pte ltd,16681205941,VND
- Các khoản phải thu khác,248209017998,VND
- Các khoản phải thu khách hàng ngắn hạn,671436163281,VND
- Các khoản phải thu khách hàng dài hạn,594637125500,VND
